id,name,portion_size,protein_g,green_carbs_g,net_carbs_g,mixed_fat_g,pure_fats_g,fiber_g,gi,gl,calories,recommendation_type
food_0532,Sabudana / Sago - Khichdi,1 katori - 100 g,2.7,0.0,25.4,7.2,0.0,1.7,70.0,16.5,176.0,NR
food_0533,Oats,Uncooked 100 g,17.0,0.0,56.0,7.0,0.0,10.0,55.0,30.8,389.0,NR
food_0534,Chocolate Brownie,1 Piece - 40 g,2.6,0.0,22.9,7.0,0.0,0.7,85.0,17.85,162.0,NR
food_0535,Poori / Puri,1 regular - 50 g,4.0,0.0,23.1,6.6,0.0,3.6,82.0,16.0,167.0,NR
food_0536,Cheese with carb,25 g cheese,5.0,0.0,0.4,6.5,0.0,0.0,34.0,1.4,80.0,NR
food_0537,Vermicelli / Jave - plain,1 bowl - 235 g,5.4,0.0,37.0,6.4,0.0,2.9,67.0,24.79,233.0,NR
food_0538,Aaloo /Alu Parantha,1 Parantha - 100 g,4.8,0.0,32.1,6.3,0.0,4.5,76.0,19.8,203.0,NR
food_0539,Gobi/Cauflower Parantha,Parantha - 80 g,4.1,0.0,20.9,6.1,0.0,4.0,74.0,12.51,154.0,NR
food_0540,Mooli /Muli Parantha,1 Parantha - 80 g,3.9,0.0,21.8,6.0,0.0,3.8,75.0,14.1,156.0,NR
food_0541,"Oats Porridge with milk, unsweetened",1 katori - 130 g,6.2,0.0,16.7,6.0,0.0,2.0,54.0,7.6,140.0,NR
food_0542,Cheesecake,1 slice - 40 g,4.9,0.0,13.7,5.7,0.0,0.1,76.0,10.41,123.0,NR
food_0543,Vegetable Parantha,1 parantha - 80 g,3.6,0.0,17.9,5.4,0.0,3.7,71.0,10.9,148.0,NR
food_0544,Aloo /Potato Sabzi,1 Katori - 100 g,2.2,3.5,21.8,5.2,0.0,3.5,80.0,17.44,142.0,NR
food_0545,Indian sweet (Mithai),1 Piece approx 30 g,3.5,0.0,12.5,5.2,0.0,0.0,80.0,10.0,109.0,NR
